Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.01	1.0895	1.09E+05	17.98	0.040001
2	0.01	0.90902	90898	19.35	0.033376
3	0.01	0.74164	74159	20.71	0.02723
4	0.01	0.6068	60675	22.05	0.022279
5	0.01	0.49965	49959	23.38	0.018345
6	0.01	0.41472	41469	24.72	0.015227
7	0.01	0.34594	34590	26.05	0.012702
8	0.01	0.29022	29019	27.38	0.010656
9	0.01	0.24693	24692	28.71	0.0090662
10	0.01	0.21011	21010	30.05	0.0077145
