Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.01	0.12355	12355	18	0.0045361
2	0.01	0.1059	10589	19.36	0.0038883
3	0.01	0.089259	8925.4	20.71	0.0032773
4	0.01	0.075079	7507.6	22.05	0.0027566
5	0.01	0.064077	6407.3	23.38	0.0023527
6	0.01	0.055008	5500.8	24.71	0.0020197
7	0.01	0.047575	4757.4	26.05	0.0017468
8	0.01	0.040873	4087.3	27.38	0.0015007
9	0.01	0.035703	3570.2	28.72	0.0013109
10	0.01	0.03107	3106.9	30.05	0.0011408
