Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.001	0.0083137	8313.4	22	0.00030525
2	0.00278	0.021185	7613.2	22	0.00077782
3	0.00774	0.056164	7254	22	0.0020621
4	0.0215	0.15283	7094.5	22	0.0056114
5	0.0599	0.4251	7091.7	22	0.015608
6	0.167	1.1709	7019.2	22	0.042992
7	0.464	3.2485	6998.6	22	0.11927
8	1.29	9.0101	6976.1	22	0.33082
9	3.59	25.008	6958.5	22	0.9182
10	10	69.388	6939	22	2.5477
