Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.001	0.084564	84586	21.99	0.0031049
2	0.00278	0.20188	72547	22	0.0074121
3	0.00774	0.52715	68082	22	0.019355
4	0.0215	1.3761	63874	22	0.050524
5	0.0599	3.6491	60870	22	0.13398
6	0.167	9.8869	59270	22	0.36301
7	0.464	27.041	58261	22	0.99285
8	1.29	74.559	57728	22	2.7375
9	3.59	205.68	57229	22	7.5518
10	10	570.13	57009	22	20.933
