Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.001	0.055561	55568	22	0.00204
2	0.00278	0.13912	49997	22	0.0051081
3	0.00774	0.37506	48445	22	0.013771
4	0.0215	1.0352	48054	22	0.038008
5	0.0599	2.8554	47635	22	0.10484
6	0.167	7.8778	47227	22	0.28924
7	0.464	21.768	46898	22	0.79925
8	1.29	59.794	46296	22	2.1954
9	3.59	162.9	45327	22	5.9812
10	10	437.68	43769	22	16.07
