Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.01	0.98287	98305	17.96	0.036087
2	0.01	0.82636	82629	19.35	0.030341
3	0.01	0.67498	67493	20.71	0.024783
4	0.01	0.55634	55631	22.05	0.020427
5	0.01	0.46306	46301	23.38	0.017002
6	0.01	0.38067	38061	24.71	0.013977
7	0.01	0.31496	31492	26.05	0.011564
8	0.01	0.26474	26471	27.38	0.0097202
9	0.01	0.22827	22826	28.71	0.0083811
10	0.01	0.19401	19399	30.05	0.0071231
