Point No.	Shear Rate [1/s]	Shear Stress [Pa]	Viscosity [mPaás]	Temperature [¡C]	Torque [mNám]
1	0.001	0.022146	22146	22	0.00081311
2	0.00278	0.057453	20647	22	0.0021095
3	0.00774	0.15494	20012	22	0.005689
4	0.0215	0.42595	19771	22	0.015639
5	0.0599	1.1839	19750	22	0.043469
6	0.167	3.2661	19579	22	0.11992
7	0.464	9.065	19530	22	0.33283
8	1.29	25.12	19450	22	0.92231
9	3.59	69.615	19370	22	2.556
10	10	193	19300	22	7.0862
