Time	250	250	500	500	1000	1000	1500	1500	2000	2000
0	-0.03472	-0.05496	-0.04309	0.158374	0.70765	0.673389	0.844282	1.349456	1.08704	1.082985
0.1	-0.032835	-0.052219	-0.043598	0.158711	0.706941	0.67626	0.842035	1.350582	1.087662	1.080009
0.2	-0.034102	-0.056247	-0.043203	0.160413	0.709349	0.672791	0.844139	1.350921	1.089777	1.080416
0.3	-0.03327	-0.056632	-0.042732	0.158237	0.70533	0.673331	0.84311	1.351095	1.086707	1.080423
0.4	-0.033499	-0.052737	-0.042455	0.159825	0.707885	0.673731	0.841897	1.351049	1.088437	1.080434
0.5	-0.034494	-0.055577	-0.040266	0.161284	0.707949	0.671971	0.842809	1.351052	1.088482	1.083054
0.6	-0.033925	-0.053065	-0.039988	0.163023	0.710098	0.67297	0.840556	1.351017	1.085765	1.078692
0.7	-0.032267	-0.053957	-0.040241	0.161894	0.710853	0.67575	0.841204	1.347754	1.088823	1.07978
0.8	-0.034136	-0.052988	-0.040226	0.163412	0.710068	0.674006	0.841879	1.350639	1.085625	1.080213
0.9	-0.033548	-0.055489	-0.038872	0.162804	0.711586	0.672087	0.843026	1.350423	1.0902	1.078082
1	-0.03205	-0.052833	-0.040342	0.164677	0.710019	0.676177	0.840099	1.350043	1.086732	1.078684
1.1	-0.032413	-0.054247	-0.042683	0.164763	0.708222	0.671628	0.83954	1.350033	1.088404	1.079182
1.2	-0.033319	-0.05573	-0.041586	0.163798	0.709796	0.672148	0.838961	1.350441	1.088545	1.078911
1.3	-0.033978	-0.051125	-0.040102	0.166514	0.707973	0.671942	0.839659	1.34983	1.08867	1.080012
1.4	-0.035389	-0.061629	-0.042632	0.165476	0.710654	0.673075	0.841864	1.350359	1.088362	1.079138
1.5	-0.033516	-0.059621	-0.041172	0.167182	0.709931	0.692594	0.842278	1.347332	1.088114	1.078052
1.6	-0.0328	-0.044814	-0.04071	0.166807	0.708206	0.671722	0.839936	1.349057	1.088612	1.079221
1.7	-0.031424	-0.039875	-0.041116	0.16871	0.710494	0.673658	0.838885	1.350667	1.087514	1.079018
1.8	-0.032976	-0.043776	-0.042817	0.171177	0.711068	0.720722	0.837451	1.348568	1.090886	1.079189
1.9	-0.039854	-0.047697	-0.04195	0.168919	0.710872	0.718768	0.838719	1.34914	1.090843	1.077316
2	-0.033707	-0.047256	-0.037671	0.171908	0.707853	0.705009	0.841133	1.345787	1.090788	1.075939
2.1	-0.028183	-0.050309	-0.039156	0.171188	0.738459	0.697912	0.840092	1.347135	1.100895	1.077364
2.2	-0.03477	-0.047531	-0.04067	0.183991	0.70431	0.69554	0.840378	1.343753	1.106975	1.076172
2.3	-0.037263	-0.052085	-0.041503	0.309127	0.721517	0.693207	0.838607	1.349469	1.107479	1.075157
2.4	-0.024634	-0.051021	-0.03916	0.303657	0.790236	0.690154	0.840075	1.34622	1.107765	1.076957
2.5	-0.028649	-0.048572	-0.040269	0.440644	0.768282	0.688326	0.838616	1.344502	1.115268	1.07666
2.6	-0.028156	-0.049667	-0.041393	0.623479	0.749894	0.68517	0.838171	1.349762	1.119261	1.073731
2.7	-0.029814	-0.047825	-0.040081	0.582174	0.739859	0.684497	0.838261	1.355776	1.122971	1.075685
2.8	-0.03959	-0.048962	-0.039727	0.561594	0.732328	0.683638	0.848503	1.357555	1.131357	1.080723
